source,date,count
ACCTRECV,18/01/22,9
ACCTRECV,19/01/22,13
ACCTRECV,20/01/22,11
ACCTRECV,21/01/22,13
ACCTRECV,22/01/22,11
ACCTRECV,23/01/22,11
ACCTRECV,24/01/22,9
ACCTRECV,25/01/22,9
ACCTRECV,26/01/22,13
ACCTRECV,27/01/22,11
ACCTRECV,28/01/22,13
ACCTRECV,29/01/22,11
ACCTRECV,30/01/22,11
ACCTRECV,31/01/22,11
ACCTRECV,01/02/22,11
ACCTRECV,02/02/22,11
ACCTRECV,03/02/22,11
ACCTRECV,04/02/22,13
ACCTRECV,05/02/22,11
ACCTRECV,06/02/22,11
ACCTRECV,07/02/22,11
ACCTRECV,08/02/22,9
ACCTRECV,09/02/22,11
ACCTRECV,10/02/22,11
ACCTRECV,11/02/22,13
ACCTRECV,12/02/22,11
ACCTRECV,13/02/22,11
ACCTRECV,14/02/22,11
ACCTRECV,15/02/22,9
ACCTRECV,16/02/22,9
ACCTRECV,17/02/22,11
ACCTRECV,18/02/22,13
ACCTRECV,19/02/22,11
ACCTRECV,20/02/22,11
ACCTRECV,21/02/22,11
ACCTRECV,22/02/22,9
ACCTRECV,23/02/22,11
ACCTRECV,24/02/22,11
ACCTRECV,25/02/22,13
ACCTRECV,26/02/22,11
ACCTRECV,27/02/22,11
ACCTRECV,28/02/22,9
ACCTRECV,01/03/22,9
ACCTRECV,02/03/22,11
ACCTRECV,03/03/22,11
ACCTRECV,04/03/22,13
ACCTRECV,05/03/22,11
ACCTRECV,06/03/22,11
ACCTRECV,07/03/22,11
ACCTRECV,08/03/22,9
ACCTRECV,09/03/22,13
ACCTRECV,10/03/22,11
ACCTRECV,11/03/22,13
ACCTRECV,12/03/22,11
ACCTRECV,13/03/22,11
ACCTRECV,14/03/22,11
ACCTRECV,15/03/22,9
ACCTRECV,16/03/22,11
ACCTRECV,17/03/22,9
ACCTRECV,18/03/22,13
ACCTRECV,19/03/22,11
ACCTRECV,20/03/22,11
ACCTRECV,21/03/22,11
ACCTRECV,22/03/22,9
ACCTRECV,23/03/22,13
ACCTRECV,24/03/22,11
ACCTRECV,25/03/22,13
ACCTRECV,26/03/22,11
ACCTRECV,27/03/22,11
ACCTRECV,28/03/22,9
ACCTRECV,29/03/22,9
ACCTRECV,30/03/22,11
ACCTRECV,31/03/22,11
ACCTRECV,01/04/22,13
ACCTRECV,02/04/22,13
ACCTRECV,03/04/22,11
ACCTRECV,04/04/22,11
ACCTRECV,05/04/22,9
ACCTRECV,06/04/22,13
ACCTRECV,07/04/22,11
ACCTRECV,08/04/22,13
ACCTRECV,09/04/22,11
ACCTRECV,10/04/22,9
ACCTRECV,11/04/22,11
ACCTRECV,12/04/22,9
ACCTRECV,13/04/22,11
ACCTRECV,14/04/22,11
ACCTRECV,15/04/22,11
ACCTRECV,16/04/22,11
ACCTRECV,17/04/22,9
ACCTRECV,18/04/22,9
ACCTRECV,19/04/22,9
ACCTRECV,20/04/22,11
ACCTRECV,21/04/22,11
ACCTRECV,22/04/22,11
ACCTRECV,23/04/22,11
ACCTRECV,24/04/22,11
ACCTRECV,25/04/22,11
ACCTRECV,26/04/22,9
ACCTRECV,27/04/22,11
ACCTRECV,28/04/22,11
ACCTRECV,29/04/22,11
ACCTRECV,30/04/22,11
ACCTRECV,01/05/22,11
ACCTRECV,02/05/22,11
ACCTRECV,03/05/22,9
ACCTRECV,04/05/22,11
ACCTRECV,05/05/22,11
ACCTRECV,06/05/22,11
ACCTRECV,07/05/22,11
